Plate,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Type],Compound Name,Compound Identifier (CAS Number),Compound Molecular Weight,Compound URL,Compound Concentration (microMolar),Compound General Target Class,Compound General activity,Compound Information,Control Type,Channels,Image File Name
1.1,C8,1,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Linifanib,796967-16-3,375.41,https://pubchem.ncbi.nlm.nih.gov/compound/11485656,2.5,Protein Tyrosine Kinase,"CSF-1R,PDGFR,VEGFR","Linifanib (ABT-869) is a novel, potent ATP-competitive VEGFR/PDGFR inhibitor for KDR, CSF-1R, Flt-1/3 and PDGFRβ with IC50 of 4 nM, 3 nM, 3 nM/4 nM and 66 nM respectively, mostly effective in mutant kinase-dependent cancer cells (i.e. FLT3). Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40501.nd2.tif_merged.tif
1.1,D8,2,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Axitinib,319460-85-0,386.47,https://pubchem.ncbi.nlm.nih.gov/compound/6450551,2.5,Protein Tyrosine Kinase,"c-Kit,PDGFR,VEGFR","Axitinib is a multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFRβ and c-Kit with IC50 of 0.1 nM, 0.2 nM, 0.1-0.3 nM, 1.6 nM and 1.7 nM in Porcine aorta endothelial cells, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40502.nd2.tif_merged.tif
1.1,E8,3,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Saracatinib,379231-04-6,542.03,https://pubchem.ncbi.nlm.nih.gov/compound/10302451,2.5,Angiogenesis,"Bcr-Abl,Src","Saracatinib (AZD0530) is a potent Src inhibitor with IC50 of 2.7 nM in cell-free assays, and potent to c-Yes, Fyn, Lyn, Blk, Fgr and Lck; less active for Abl and EGFR (L858R and L861Q). Phase 2/3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40503.nd2.tif_merged.tif
1.1,F8,4,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Selumetinib,606143-52-6,457.68,https://pubchem.ncbi.nlm.nih.gov/compound/10127622,2.5,MAPK,MEK,"Selumetinib (AZD6244) is a potent, highly selective MEK1 inhibitor with IC50 of 14 nM in cell-free assays, also inhibits ERK1/2 phosphorylation with IC50 of 10 nM, no inhibition to p38α, MKK6, EGFR, ErbB2, ERK2, B-Raf, etc. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40504.nd2.tif_merged.tif
1.1,G8,5,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Nintedanib,656247-17-5,539.62,https://pubchem.ncbi.nlm.nih.gov/compound/135423438,2.5,Protein Tyrosine Kinase,"FGFR,PDGFR,VEGFR","Nintedanib (BIBF 1120) is a potent triple angiokinase inhibitor for VEGFR1/2/3, FGFR1/2/3 and PDGFRα/β with IC50 of 34 nM/13 nM/13 nM, 69 nM/37 nM/108 nM and 59 nM/65 nM in cell-free assays. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40505.nd2.tif_merged.tif
1.1,G9,6,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Afatinib,439081-18-2,485.94,https://pubchem.ncbi.nlm.nih.gov/compound/10184653,2.5,Protein Tyrosine Kinase,"EGFR,HER2","Afatinib (BIBW2992) irreversibly inhibits EGFR/HER2 including EGFR(wt), EGFR(L858R), EGFR(L858R/T790M) and HER2 with IC50 of 0.5 nM, 0.4 nM, 10 nM and 14 nM in cell-free assays, respectively; 100-fold more active against Gefitinib-resistant L858R-T790M EGFR mutant.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40506.nd2.tif_merged.tif
1.1,F9,7,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,BMS-536924,468740-43-4,479.96,https://pubchem.ncbi.nlm.nih.gov/compound/135440466,2.5,Protein Tyrosine Kinase,IGF-1R,"BMS-536924 is an ATP-competitive IGF-1R/IR inhibitor with IC50 of 100 nM/73 nM, modest activity for Mek, Fak, and Lck with very little activity for Akt1, MAPK1/2. ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40507.nd2.tif_merged.tif
1.1,E9,8,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Bosutinib,380843-75-4,530.45,https://pubchem.ncbi.nlm.nih.gov/compound/5328940,2.5,Angiogenesis,Src,"Bosutinib (SKI-606) is a novel, dual Src/Abl inhibitor with IC50 of 1.2 nM and 1 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40508.nd2.tif_merged.tif
1.1,D9,9,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Cediranib,288383-20-0,450.51,https://pubchem.ncbi.nlm.nih.gov/compound/9933475,2.5,Protein Tyrosine Kinase,VEGFR,"Cediranib (AZD2171) is a highly potent VEGFR(KDR) inhibitor with IC50 of <1 nM, also inhibits Flt1/4 with IC50 of 5 nM/≤3 nM, similar activity against c-Kit and PDGFRβ, 36-, 110-fold and >1000-fold selective more for VEGFR than PDGFR-α, CSF-1R and Flt3 in HUVEC cells. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40509.nd2.tif_merged.tif
1.1,D10,10,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Dovitinib,405169-16-6,392.43,https://pubchem.ncbi.nlm.nih.gov/compound/135398510,2.5,Angiogenesis,"c-Kit,FGFR,FLT3,PDGFR,VEGFR","Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2 in cell-free assays. Phase 4.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40510.nd2.tif_merged.tif
